Date,Company,Location,Title,Role Summary,Responsibilities,Skills / Desired Characteristics,Min Qualifications,Preferred Qualifications
8/10/2014,Atlassian,"San Francisco, CA",Principal Product Manager,"As a Principle Product Manager, you'll be responsible for driving product roadmap, gathering and prioritizing product requirements, interacting with customers to understand their needs, analyze market trends and business opportunities and create a compelling product vision. You'll work closely with engineering, design, project management and product marketing to execute on the product roadmap and deliver great software. You'll define and track the key business and usage analytics data to measure success for product areas you own.

If you are a strategic thinker who is analytically strong and detail oriented, adept at multitasking and prioritizing and has a solid technical background or experience with software development technologies, this might just be the role you are looking for.","Define the overall strategy and manage the development priorities
Deeply understand your customers; software developers
Be the voice of the customer (both current and future) in all aspects of product development and delivery
Create product roadmaps that maximize business opportunities and support strategic objectives
Collaborate with functional groups across to business to deliver an awesome product
Gather, understand, and disseminate requirements from prospects, evaluators, customers
Work with external third parties to assess partnerships and licensing opportunities
Monitor and assess industry standards and innovations
Be a leader of your team and within the company",,"5+ years product management experience, preferably with software or development tools
Superior creative and innovative problem-solving skills
Demonstrated success defining and launching successful, customer valued products
Ability to prioritize among competing opportunities, balance consumer needs with business priorities, and articulate the rationale behind decisions
Proven ability to lead, to take a stand or advocate a feature, and present market facts and data to back up your position
Excellent organizational, statistical, strategic thinking, problem-solving, analytical, written and oral presentation skills
Must be resourceful, self-motivated and able to be successful in a non-traditional entrepreneurial team-based environment
Bachelor’s in Computer Science, Computer Engineering is preferred, Master’s Degree a plus
Experience with agile development methodologies a plus.
Good natured, sociable, creative and diligent individual who is driven, detail-oriented, and dedicated
",
8/6/2014,Walmart eCommerce," San Bruno, CA",Principal User Experience,"Design and user experience are incredibly important at WalmartLabs. We look to the principal to envision how to help people save money and live better with Walmart, and to bring that vision to life. 
Principals are responsible for setting the vision for global ecommerce product launches in Asia Pacific, Europe and the Americas that require the integration of multiple systems and APIs. Principals create the plans that are used by other team members to develop the user interface, content, and functionality. To do this you’ll use your extensive knowledge of the UX process (research, conceptual design, prototyping, testing) to lead and collaborate with other architects, designers, content strategists, researchers, product managers and engineers.
You will be responsible for consulting with internal clients about their business goals, and proposing front-end architectural solutions and strategies that meet both users' and business needs. 
You love to solve complex problems and mentor and lead others who feel the same, and your solutions merge with a larger structure to create a cohesive design ecosystem.
When you look at Walmart.com, you see multiple easy ways we could make the experience easier and more delightful for our customer – and you’re excited to tell us about them.

",,"• Strong tendency towards visual thinking – using techniques like storyboards and sketching – to communicate interaction design concepts.
• The ability to create process flows, site maps, wireframes, screen prototypes, and functional specifications.
• Ability to manage your time and deadlines, as well as the ability to adapt to the ever-changing priorities of the eCommerce business. 
• Constant drive to stay up-to-date with the latest industry news and developments.
• Capability to adhere to team processes and standards, while leading process improvement efforts.
• Ability to work quickly and efficiently without sacrificing a consistently high level of attention to detail.
• Exceptional presentation, communication, and negotiation skills.
• Extensive experience with business requirement gathering, site assessment, competitive analysis, and secondary research.
• Extensive experience negotiating business decisions.
• Inclusive design philosophy with a strong editorial sense. You gather feedback judiciously, but know when to adjust your designs and when to follow your initial vision.","Bachelor’s Degree in Human Computer Interaction (HCI), Psychology, Information Science, Design, Communications, English, Writing, or related
field and 2 years user experience design or related field OR 5 years experience in user experience design or related field.

","Masters Degree in Cognitive Science, Computer Science, Artificial Intelligence, Architecture, Business, or related field.
4 years experience in eCommerce or related field.
4 years experience in software design or related field.
2 years experience developing user experience solutions with agile methodology
2 years experience designing front-end user experience solutions for consumer software development using modern web technologies such as
AJAX, Ruby on Rails, or related skill.
2 years hands-on experience designing front-end user experience solutions for mobile applications on major smartphone platforms such as
Android or iOS.

"
8/9/2014,Amazon,"Seattle, WA",Principal UX Designer,"Amazon’s advertising design and user experience team is seeking a talented principal designer to drive innovation for Amazon’s advertising business. In this role, you will set thought leadership for user experience design and collaborate with our global advertising design teams to deliver new experiences at the intersection of eCommerce and brand advertising. You will solve user experience design challenges for consumers spanning mobile, tablet, Amazon.com and for business users through our self-service advertising platforms within Amazon’s fast-paced advertising business.
You are an effective design leader with a passion for driving design solutions and collaborating with stakeholders. As a leader within our advertising design organization, you will work with our Head of Advertising Design to help drive design and business strategy and work across our product design, creative, design technology and research teams to create consistent and scalable design systems and methodologies for all products and services. You will work closely with design managers, product managers, development and executive management to ensure that we deliver beautiful, simple and effective advertising experiences for Amazon customers around the world.","· Create the vision for developing, communicating, and implementing user experiences across a complex set of products, and deliver processes and tactics needed to implement the vision
· Propose and drive user research activities enabling to build a deep and rich understanding of our users
· Use user data, analytics and business requirements to assist in developing high-level requirements and user stories
· Build trust and credibility with stakeholders, management peers, and executives
· Introduce, develop, and ensure best design practices, processes and communicate quality expectations organizationally
· Collaborate effectively with an agile, multi-disciplinary team to evaluate the feasibility of proposed designs and champion UX in the face of technical constraints
· Ensure consistency of design across multiple devices and platforms
· Present work to peers, stakeholders and Amazon executives for review and feedback
· Grow and mentor designers across our advertising business
· Use humor, creativity, and energy to maintain personal and team momentum
",,"· 10+ years of experience as a user experience designer, interaction designer, product designer or similar role designing mobile, web, and/or other on-device applications
· 4+ years of experience successfully leading design programs through multiple product lifecycles
· Proven experience with rapid, iterative design and development processes
· Knowledge of all creative tools used by designers and when to use them appropriately
· Excellent written and verbal communications skills ability leading persuasive presentations to senior management
· Strong organizational skills and an attention to detail
· Bachelor's degree in design, human-computer interaction (HCI), or equivalent professional experience","Experience with mobile platforms, including mobile phones, smartphones, and/or tablets
· Retail/e-commerce experience
· Superior planning skills and ability to model needs against high level roadmaps to make fact-based recommendations about customer needs
· Passion for defining, articulating, and integrating the role of design within an organization and with external stakeholders"
8/10/2014,Intuit,"San Diego, CA",Principal Visual Designer,,"Provide art direction for visual design concepts and standards for both web and mobile
Uses industry best practices and brand guidelines to influence and establish visual design standards
Works to establish and promote visual design standards, in collaboration with other members of design, product management and engineering
Creatively leads a team throughout all aspects of visual design as it applies to the TurboTax product experience
Applies and matures the visual design strategy, and executes on it in the deployment of visual design assets throughout a deep customer experience
Participates in establishing process, standards, and approach to testing design work in production, for quality and adherence to standards, recommends the scope of effort for projects required for the Design team
Work within a highly integrated team of designers and developers to identify and codify design patterns using the latest responsive web techniques and interaction styles
",,"7+ years of visual design experience in delivering high-volume, high-profile or award-winning web sites or products; preferably experience with SaaS and mobile products
Deep knowledge of user experience methods, innovation, ideation, storytelling, prototyping, design frameworks, concept visualization, problem-framing skills and design principles
Proven track record in setting a vision for great customer experiences, inspiring others to get behind the vision, and ultimately delivering products and services that are known for their delightful experience and ease of use
Organized, self-directed, efficient and able to manage multiple and complex projects in a timely manner
Familiarity with web and mobile technologies and their impact on the feasibility of design solutions; hands-on expertise with prototyping a plus
Ability to move seamlessly between defining strategy and hands-on design work to deliver experiences that are both delightful and easy to use
Expert level in your favorite design tool (Photoshop, Illustrator, Dreamweaver, Balsamiq, Axure) but equally skilled in creating lo-fi prototypes for quick experiments

",
8/13/2014,Hipmunk,"San Francisco, CA",Product / Interaction Designer (Intern),"Hipmunk is looking for an Intern to join the Product Design team. We are looking for a talented, highly passionate designer with a strong foundation in visual design as well as a solid understanding of user experience, interaction and product design. You will have the opportunity to design across multiple platforms (desktop, tablet, and mobile) for a company that is continually recognized in the travel industry for their outstanding user experience. This is a paid internship position, with the possibility to be hired for a full-time position at its conclusion. You will be asked to work 28-40 hours per week and the internship will last a minimum of 10 weeks.

","Design exceptionally beautiful product interfaces with a clear focus on usability
Understand product requirements as they relate to business goals and create design solutions to solve these
Think through extensive user flows and consider all edge cases when developing designs
Design well thought-out solutions for usability challenges across platforms (desktop, tablet, and mobile)
Clearly communicate reasons behind your designs
Collaborate with other designers, developers, and product manager on product concepts and designs
Perform user testing as appropriate",,"Previous work or internship experience in a consumer internet or mobile company
Curiosity and passion for crafting amazing experiences
Strong portfolio highlighting your interaction, UX, and visual design skills and knowledge of product
Interaction design expertise, including wireframe creation and prototyping
UX expertise, including user interviews and testing
Visual design expertise, including creating pixel perfect mockups
Solid proficiency in Abobe Creative Suite (Photoshop, Illustrator, and InDesign)
Strong ability to communicate, justify your design decisions, and consider feedback from multiple teams within the company
iOS / Android / mobile / responsive web design experience a plus
Technical skills in HTML & CSS a plus
",
8/9/2014,Facebook,"Menlo Park, CA",Product Design,"Come be part of a talented team of designers passionate about creating the very best product for Facebook's 1 billion users. As a Product Design, University Grad you will be involved in every aspect of the product development process, from brainstorming the next feature of News Feed to tweaking pixels right before launch. You will be expected to utilize your full range of product design, interaction design, and visual design skills, and you will own the experience for a wide area of the Facebook product. This position is full-time and based in Menlo Park.","Take broad, conceptual ideas and turn them into something useful and valuable for our billion users
Design flows and experiences that are incredibly simple and elegant
Contribute to high-level strategic decisions with the rest of the product and executive teams
Give and solicit feedback from other designers in order to continually raise our bar for quality
Partner with PMs, engineers, researchers and content strategists to oversee the user experience of a product from conception until launch (and then some)",,"Strong portfolio featuring examples of interaction design work
Ability to think at a high level about product strategy and vision (not just 'how it should look' but 'what we should build')
Proven ability to execute on visual and interaction details
Excellent communication skills - you should be able to clearly articulate your design decisions
Some experience with front-end programming (you should be able to code up a simple web site and/or an application)
BA/BS degree in design related program or equivalent",
8/9/2014,Amazon,"Seattle, WA",Product Design Engineer,"As a Product Design Engineer, you will be responsible for the mechanical design, development and quality of products. You will contribute as a member of an enclosure team. You will take responsibility for leading project teams, technical problem solving, creatively meeting product objectives, at times delegating tasks to achieve your objectives and mentoring junior engineers. You will demonstrate cross-functional resource interaction to accomplish your goals. You will play a role in defining processes and methods to improve the productivity of the entire team. You will identify and initiate investigations of production technologies, prototype and test solutions for product features, and design and validate production designs that deliver an exceptional user experience.

You will demonstrate a strong working knowledge of mechanical systems, with expertise in systems integration, the desire to learn from new challenges and the problem solving and communication skills to work within a highly interactive and experienced team. You must show a hands-on passion for their work and be able to communicate your ideas and concepts both verbally and visually. You must demonstrate an ability to integrate feedback and to respond quickly to changing contexts and work environments. In this role, you will:
","· Research into materials and component technologies to scope development opportunities
· Feature design and testing to meet program objective
· Test failure analysis and solution validation to complete successful product development
· Provide detail part design and product documentation
· Field failure analysis and solution evaluation for production product issues
· Support positive team interactions to accomplish program objectives
· Provide cross-functional program integration support to insure team success
· Lead project teams to timely delivery of products
· Schedule and milestone management
· Manage interaction with overseas resources
· Apply technical expertise to problem solving throughout product lifecycle
· Mentor junior engineers in good product design practice",,"· Bachelor’s degree in Mechanical Engineering or related field
· 3+ years of experience, consumer/handheld product development
· 3+ years of experience in product validation (Shock/Drop, Cycle Testing, Environmental Testing)
· 3+ years of experience with 3D CAD skills, ProEngineer","· Master’s degree
· Wildfire
· Mandarin language skills
· Demonstrated knowledge of tooling and materials process validation (SPC, Cp, CpK)
· Demonstrated design experience with high volume/high finish consumer electronics enclosure materials
· Demonstrated design experience integrating component modules (I/O, Displays, Batteries, PCBs, etc.)
· Analytic problem solving skills, including knowledge of 8D, Six Sigma, DOE or similar disciplines
· Demonstrated leadership and mentoring skills"
8/9/2014,Facebook,"London, UK",Product Design Manager,Facebook is looking for an experienced Product Design Managers to lead a small teams of designers. Candidates must have strong mentoring and communication skills. The role combines growing and managing a small team with hands-on design. Candidates must have strong visual and interaction skills and the ability to help shape product strategy. Candidates that can build their own designs are preferable.,"Manage and develop a small team of designers. This requires setting clear goals, managing project loads and allocating designers accordingly, ensuring deadlines are met and setting up team members for overall success
Guide the team to develop best practices for ensuring a high bar of quality
Collaborate cross-functionally with product management, engineering, user research and communication design to ensure a smooth product development process
Recruit new designers and actively participate in the hiring process
Roll up your sleeves and contribute as a designer for at least one project
Execute in a fast-paced and highly fluid environment Collaborate with teams in other offices",,"Minimum 2 years industry experience in a management or leadership role on a Design team
Minimum 5 years of design experience
Strong design portfolio with examples of well-thought out interactions and clear visuals across web applications (not just static websites)
Experience and expertise in high-level product strategy
Excellent communication skills and attention to detail
Exceptional organizational and analytical skills",
8/9/2014,Facebook,"Menlo Park, CA",Product Design Manager,Facebook is looking for an experienced Product Design Managers to lead a small teams of designers. Candidates must have strong mentoring and communication skills. The role combines growing and managing a small team with hands-on design. Candidates must have strong visual and interaction skills and the ability to help shape product strategy. Candidates that can build their own designs are preferable.,"Manage and develop a small team of designers. This requires setting clear goals, managing project loads and allocating designers accordingly, ensuring deadlines are met and setting up team members for overall success
Guide the team to develop best practices for ensuring a high bar of quality
Collaborate cross-functionally with product management, engineering, user research and communication design to ensure a smooth product development process
Recruit new designers and actively participate in the hiring process
Roll up your sleeves and contribute as a designer for at least one project
Execute in a fast-paced and highly fluid environment Collaborate with teams in other offices",,"Minimum 2 years industry experience in a management or leadership role on a Design team
Minimum 5 years of design experience
Strong design portfolio with examples of well-thought out interactions and clear visuals across web applications (not just static websites)
Experience and expertise in high-level product strategy
Excellent communication skills and attention to detail
Exceptional organizational and analytical skills",
8/7/2014,Vine,"New York City, NY",Product Designer,"Vine is seeking a start Product Designer to join our growing team of creatives. Become an integral part of a cross-functional team of designers, developers, and product managers evolving the world’s leading platform for mobile video. You’ll turn high-level concepts into pixel-perfect UI renderings and prototypes, and collaborate with your team to put it out into the multi-million-user Vine community.",,"Top designs kills with a portfolio to prove it.
You’ve designed native apps for both iOS and Android.
Apply the gamut of skills in product, interaction, and visual design to help create & build new features of Vine’s mobile and web apps.
Stay on the pulse and contribute ideas for new features or ways to improve what’s already there.
You get a huge kick out of getting and giving feedback, both internal and external (from users and data)
This is serious business, so it ain’t all design – you’ll work intimately with developers, product managers, marketers and all disciplines involved in putting out a global product.
The chance to hand your work off to your complement in another discipline takes trust, and you understand what it takes to get there and keep those relationships running smoothly.
You can speak not jus passionately about your design work, you can speak plainly about it to anyone.
You explore many ideas at once, without spending too long on any one concept.
You don’t fetishize static mocks, and understand the importance of motion and prototyping.
There’s a deadline for everything, and while we at Vine are unrelenting perfectionists, you know when it’s time to let your baby go out into the world.
It’s not a failure, it’s experience! You learn from mistakes and misfires and come back stronger for it.","5+ years of digital product design experience
Bachelors in Design or similar
Excellent typography and iconography skills",
8/9/2014,Pocket,"San Francisco, CA",Product Designer,"We’re looking for a passionate product designer to help us shape the future of Pocket. You’ll be responsible for conceptualizing, validating and designing exceptional product experiences across Pocket’s entire platform.

You should be an excellent communicator, problem solver, a self-starter and be comfortable working closely within a tight-knit team.

",,,"A strong design sensibility that fits with the Pocket style
Experience designing engaging user experiences for desktop, web and mobile apps (iOS and Android)
You excel at validating concepts through research, low and high-fidelity prototyping and user testing. You are equally comfortable working the details of your designs at a pixel-perfect level
Great communication skills. You should be able to clearly articulate your design decisions and what problems they’re solving
You thrive in an environment with short feedback loops
Obsessive attention to detail
A portfolio of design projects that show outstanding product design skills
",
8/9/2014,Pinterest,"San Francisco, CA",Product Designer,"We’re looking for a passionate product designer to help us define how people interact with Pinterest. You’ll create a beautiful and inspiring design experience that helps pinners discover, collect, and connect with things they love. You should be an excellent communicator, a self-starter, and be comfortable working closely with engineers, researchers, and writers. ","Collaborate with other teams to turn big ideas into simple, beautiful products
Own all facets of design: interaction, visual, product, prototyping
Develop design concepts that put pinners first, while helping us meet our business goals
Create pixel-perfect mocks and code for new features across web and mobile
",,"A passion for social design
Great communication skills. You should be able to clearly articulate your design decisions and what problems they’re solving
A strong design sensibility that fits with the Pinterest style
The ability to bring your designs to life (JavaScript, CSS, HTML)
Experience with web and mobile design (iOS and/or Android)
Obsessive attention to detail
A portfolio of design projects that show outstanding product design skills",
8/9/2014,Facebook,"Menlo Park, CA",Product Designer,"Come be a part of a team of designers passionate about creating the very best product for Facebook's billion users. We are focused on connecting the world and an essential part of that effort is designing for Emerging Markets — for reaching people on the platforms, devices, and networks where they really are — and design, build and ship the best possible experiences for sharing. 
This effort includes internationalization, localization, the logged out experience, registration, helping people to get started on Facebook and find their friends, notifications, etc. 
We are seeking a strong product designer to lead our Emerging Markets focused design efforts. As a Product Designer on our in our emerging market efforts, you will be involved in every aspect of the product development process, from brainstorming the next great product innovation to tweaking pixels right before launch. You will be expected to utilize your full range of product design, interaction design, and visual design skills, and you will own the experience for a wide area of the Facebook product. This position is full-time and based in Menlo Park.","Take broad, conceptual ideas and turn them into something useful and valuable for our billion+ users
Design flows and experiences that are incredibly simple and elegant
Contribute to high-level strategic decisions with the rest of the product and executive teams
Give and solicit feedback from other designers in order to continually raise our bar for quality
Partner with design, engineering, PM, and data to oversee the user experience of a product from conception until launch (and then some)",,"2+ years experience designing for emerging markets: feature phones, low-end to medium end devices
2 + years conducting/participating to ethnographic studies in emerging markets
Must have a portfolio featuring examples of interaction design work
You possess excellent communication skills (you should be able to clearly articulate your design decisions)
The ability to think at a high level about product strategy and vision (not just 'how it should look' but 'what we should build').",
8/9/2014,Google,"Mountain View, CA",Product Designer,"As a member of a fast-paced multi-disciplinary team, you use your creativity and diverse range of engineering experience to explore solutions to a variety of engineering problems. As a mechanical engineer, you participate in the design, analysis, and prototyping of new concepts. You work in a manufacturing and product oriented development environment and collaborate with vendors and outside sources in order to see parts through to manufacture.

As a Product Design Engineer at Google, you will be developing iconic, consumer focused computing devices. You have a solid mechanical and consumer design background, as well as familiarity with system integration and fast-paced consumer development lifecycles. You will be comfortable working in a number of areas- for example defining enclosures, mechanisms, MLB planning, connectors, and modules. You will be expected to work closely with cross functional teams in operations, product, and hardware to define and deliver outstanding products.","Drive system architecture and implement design with the multi-discplinary team
Provide concept to production product design while working with contract manufacturing to ensure completion
Work with design team to establish innovative world class designs
Execute with leadership through all product development phases
Design based on a wide range of technical depth and innovative ideas. Solve all issues associated with the natural path of product development with creativity and smart designs.
",,"BSME 
or equivalent practical experience.  
Experience with manufacturing processes including Plastic Injection Molding, Sheet metal, Extrusion, Die Casting and Machining.","MSME Degree
5 years of relevant industry experience
Shipped multiple products in a lead or principal engineer role
Broad range of experience and technical depth that can be applied to a broad range of problems"
8/9/2014,Apple,"Santa Clara Valley, CA",Product Designer,"The Video Applications Product Designer will play a key role in the future of video applications. From brainstorming through implementation, the Video Applications Product Designer will work with members of the Video Applications design team, engineering, marketing, and QA groups. We are looking for an imaginative, resourceful and enthusiastic designer to help us continue to make products that blend ease of use with powerful feature sets all with an unsurpassed attention to detail.",,"The ideal candidate will have a deep understanding of non-linear video editing, workflow, audio and video finishing. The candidate should understand a wide breath of video editing workflows that range from consumers to professional editors.  The candidate should be detailed oriented and able to visually express ideas and thoughts in a variety of ways. The candidate will be able to translate their years of post production experience into designs that create features and applications that exemplify Apple's commitment to it's users.
Other qualities include:
Deep understanding of Apple’s human interface design language and of the Mac OSX, iPhone and iPad platforms
Experience designing web, iOS or desktop application or features
Outstanding written and verbal communication skills
Knowledge of video editing, sound design or related disciplines
Knowledge and experience use of competitive post production tools and applications 
Experience creating multimedia projects or prototype","Four year degree or higher preferred * 5 years experience post production or related fields * Experience with FCPX, iMovie, Compressor and Motion * Knowledge of user-centered design principles * Great written and verbal communication skills * Excellent collaborative skills * Highly professional, with the ability to deliver solid work on tight schedules ",
8/9/2014,Trunk Club,"Chicago, IL",Product Designer,,,"You have a strong point of view about design process and have led product development from start to finish

You have established collaborative relationships with product managers and engineers within dedicated product teams

You have a substantial product design portfolio highlighting both web and mobile, including wireframes and prototypes

You have led user research and have a strong appreciation for research techniques and how to iterate on the feedback received

You are capable of prototyping and designing in code

You have experience working for a startup or a rapidly-growing mid-sized company",,
8/10/2014,Groupon,"Chicago, IL",Product Designer,"Excited to change the face of local commerce by designing the web and mobile applications that millions of customers use worldwide to find great products and services around them? This is exactly what product designers at Groupon do. Generalists by nature, the heart of product design lives with determining the functional and interaction design of a product. From there, activities can spread out to include user research, product strategy, prototyping, visual design, and partnering with product and engineering to ensure your vision is delivered. 
Product designers cultivate deep empathy for their users, and translate this understanding into inventive and delightful product designs that cross channels and devices (email, web, mobile, and tablet). ","Collaborate with our UX researchers to better understand customer needs
Sketching, concept generation, and other ideation exercises to push the boundaries of what we build
Creating flows, wireframes, animations, storyboards, and any other visualizations that make explicit the functional and systems core of a product’s design, across all relevant channels and devices
Helping define and prototype proposed designs and interactions (using tools you choose to express your ideas)
Contribute ideas to improve existing products, both in and outside personal expertise
Lovingly craft final design deliverables and product specifications
Deeply understand, contribute to, and if necessary challenge the requirements and business goals of projects you work on
Collaborate with multi-disciplinary teams","You’re a good fit for this role if:
You want to work with passionate, curious people and help us re-invent local commerce
You want to work on challenging problems
You enjoy working on a team that values bold ideas and attention to detail
You can contribute at all stages of experience design – from product strategy to interaction design, to beautiful pixels
","Minimum 5 years of practical experience working with multi-disciplinary teams in an Agile environment
A portfolio showcasing excellent skills in design, HTML & CSS, and experience design principles (Applicants without a portfolio will not be considered)
Ability to think about high-level product vision and contribute a vision of a fantastic user experience
A strong, modern design sense, that values usability, scalability and consistency.
Solid grounding in fundamentals of HCI, information design, and user experience design principles and practices
Experience with qualitative user research methodologies and familiarity with quantitative testing methodologies, and the wisdom to use them to make data-driven design decisions
Effectively and efficiently communicate progress on projects and manage expectations towards milestones
Ability to manage and execute multiple ongoing projects
Demonstrate proficiency with mobile design and interaction principles
Experience with Adobe design suite and prototyping tools
","Bachelor or Master degree in Graphic Design, Visual Design, Communication Design, or a related field
Comfort working in fast-moving, agile development environments
Experience with or proficiency in prototyping tools or techniques
Eagerness to tackle the unique design and development challenges
Resourcefulness coupled with great problem-solving skills, both on your own and as part of a team
Experience with e-commerce and local business
Healthy sense of humor
Proficiency in or understanding of HTML, CSS, JavaScript, and the technologies that you’re designing for
Great design communication skills; able to tell the story of a design from end to end"
8/10/2014,Asana,"San Francisco, CA",Product Designer,"On the design team, we take pride in the craft of building products: coming up with ideas, testing them against our users and our teammates across the company, creating polished design artifacts, and taking a leading role alongside our engineers in making sure our designs are well-implemented and bulletproof. Asana is a company of peers: you’ll work with people who come in every morning to decide what needs to be done to accomplish the goals we’ve all helped define, and then take ownership for the speed of the execution on those goals.",,,"A designer who is strong in all the skills needed to see a project through from concept to implementation. You will work through:
understanding our users and everything they love and hate about managing work
interaction design for a complex product
visual design that will make users smile and keep coming back
implementation details so that nothing gets left out
A clear communicator with the ability to talk about your designs in terms of users and to advocate your direction with the product and engineering teams
Deep intuition for usability, but a willingness to let go of your instincts when proven incorrect
Experience with an iterative design process: incorporating feedback, launching quickly, and testing hypotheses
A strong portfolio including nuanced workflows and beautiful visual design applied to web-based or mobile apps
The ability to hand-code HTML/CSS with ease","Enough JavaScript ability to simulate the experience of your design in detail
Experience conducting usability studies
Software engineering experience: commit design-related fixes directly into the codebase!
Interest in tangential fields: typography, fine arts, ethnography, and psychology."
8/10/2014,Eventbrite,"San Francisco, CA",Product Designer,"Eventbrite is looking for a Product Designer that helps improve the lives of our customers that use our product every day. You want to make attending an event and creating an event to be as frictionless as possible. Working with UX designers, Product Managers, UI Engineers and User Researchers, you will be a key contributor to the UI design of the entire Eventbrite product experience. You draw ideas from mobile and other industries that can help elevate the rest of the design team and company.",,"You care about what you do
You sweat over every detail, with pixel precision of how a design looks on every device
You love to laugh
You check your ego at the door
You enjoy working with like-minded people
You hunger to contribute to something big
You create amazing things seen by millions of users.
You want to make attending and organizing live events the best experience in the world 

A successful history of shipping products that improve people’s lives
A portfolio of projects that capture amazing product design skills
A knowledge of the mobile landscape (iOS and Android) and how every screen size matters
A confident understanding of effective and efficient UI design
A strong ability to code your own work (HTML, CSS, Javascript) and contribute to a shared pattern library
A hunger to advance the event marketplace",,
8/10/2014,Zendesk,"Copenhagen, Denmark ",Product Designer,"At Zendesk, our goal is to help bring companies and their customers closer together. We know that communication is the key to happy relationships, so we build software that makes customer conversations easy and more productive. Our team takes a shared approach to work projects, collaborating when helpful and offering constructive critiques on a regular basis. Most importantly, we instill everything we do with calm, focus, and a sense of humor.  As a Product Designer on Zendesk’s Creative team, you will be responsible for every aspect of the user experience, from imagining our next product innovation to tweaking pixels before launch. You will be expected to apply your full range of product design, interaction and visual design skills, and work closely with project teams to grow concepts through design exploration and ideation.","Solve complex business problems by humanizing product ideas and developing these into elegant application designs
Create pixel-perfect mocks and final graphical assets for new features
Lead design discussions that take concepts through to production
Have a love for beautiful software and the capability to design products that are both obvious and a delight to use
Care about the little things and have great attention to detail
Be comfortable experimenting, accepting feedback and iterating on ideas
Articulate ideas to the wider Creative team, welcome criticism and defend design decisions for the good of the product
Effective working in a collaborative, agile environment
Strike a balance between the practicalities of design and rethinking paradigms that define a new web
Ideate with all levels of Zendesk to create products that make happier support professionals
",,"3+ years experience in a similar role
Equal propensity in visual and interaction design with a mind for simplicity
Capable of communicating and prototyping interactions rapidly at all levels of fidelity
Deep knowledge of modern UI patterns
A propensity for experimentation
* An online portfolio and links to apps you designed in the app store are required 

",
8/13/2014,Intercom,"Dublin, Ireland",Product Designer,"Product Designers help turn our mission from vision to reality, working from the beginning to the end of product building, from new disruptive ideas to detailed iterations on microinteractions. We believe in a high Designer to Engineer ratio and need to grow our Product Design team to work with our growing Engineering team. Intercom is a design led company and an empowering place for designers to work. 

","Work through design problems from beginning to end: translating research insight into ideas that will make Intercom better, both disruptive new products/features and detailed iteration of the existing product.
Work with engineers on the feasibility of ideas.
Sketch and prototype ideas to test viability and how interactions feel.
Iterate ideas based on feedback from the whole team.
Design the fine grained details of interactions.
Work closely with engineers as they build and ship ideas.
Own the success or failure of their design work and initiate design and engineering sprints to improve shipped work.",,"Experience designing digital products and systems, not just websites. You have helped ship products.
Experience designing experiences that people can access on any type of device, desktop, tablet, phone.
Strong understanding of social design including behaviour patterns from psychology and social psychology.
The ability to prototype what you design using keynote, javascript, css, html etc.
Excellent communicator of design work and your rationale behind proposals.
Excellent self starter who can deeply collaborate with engineers.",
8/10/2014,Pivotal Labs,"San Francisco, CA",Product Designer ,,"Champion and create user centered product design solutions
Conduct user research and usability tests
Contribute to daily product decision making and real product delivery with product managers and developers
Explore and create workflows, wireframes, and comps or prototypes
Refine and create visual systems
Collaborate and sometimes pair design with other members of the design team
Participate in the full lean-agile process
Play ping pong, take a yoga class, eat a fully catered breakfast every morning with your coworkers
Go to a conference (or speak at one!), take a class— all included when you work at Pivotal","Collaborate well. You don’t hesitate to talk, sketch, whiteboard, or prototype to get your idea across. You also know when to listen and when to let go of an idea so an even better one can start to form.
Understand the impact that your design will have on the people developing our technical future.
Will settle for nothing less than user-centric design. You represent the user in product and engineering meetings. You test your ideas out with user tests and embrace rapid feedback loops.
Enjoy systems. You have a burning desire to map a user’s workflow and then wireframe (or code) a prototype derived from that.
Have a sense of humor and enjoy working with intense, smart teams of designers, developers, and product managers.
Are flexible. Priorities change, teams change, but process can be the flexible thread that keeps the project on track.
Are kind. It’s one of our Main Principles.
Want to continually learn and grow.
","Have 2+ years experience designing the user experience for web applications
And/OR have 2+ years experience designing visual interfaces for web applications
Explore, communicate, and validate ideas through sketching/whiteboarding, wireframing and creating prototypes
Can either generate visual design systems or able to design pulling from a style guide
Know your way around Adobe Illustrator and Photoshop
Comfortable designing for developer and data science user needs
Experience working with agile development teams
BA or MA in design or HCI field","You write your own front end code (HTML, CSS, Javascript, etc.)
You are an excellent visual designer
You are a former developer or data scientist"
